Type,Wanted station,#,CS,Info1,cx,Rx frequency MHz,KTBF dBm,Polar,Interferer,#,CS,Info1,Tx frequency MHz,Unwanted Pr dBm,Polar,TD dB,Cumulated TD dB,IRF dB,IRF from,XPD dB,Tx pow dBm,Tx BW kHz,Tx addloss dB,Tx losses dB,Tx antgain dB,Tx main OAA,Tx ant att dB,Rx BW kHz,Rx losses dB,Rx ant gain dB,Rx main OAA,Rx ant att dB,Distance m,Prop loss dB,Tx az,Tx tilt,Rx az,Rx tilt,Wind turbine unwanted power (dBm),Tx->Rx az,Tx->Rx tilt
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,15,AR  180714,FT MEADE,8078.271,-184.47,V,0,0,0,IRF MASK,0,30.54,7150,0,0,58,68.28,68,30000,3.59,37.2,58.13,41.95,92706.77,196.67,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,16,AR  170772,FT MEADE,8123.35,-190.43,V,0,0,0,IRF MASK,0,24.7,741.42,0,0,57,141.44,67,30000,3.59,37.2,58.13,41.95,92706.77,196.79,144,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,17,AR  130819,FT MEADE,8143.442,-193.3,V,0,0,0,IRF MASK,0,21.88,1940,0,0,58,141.44,68,30000,3.59,37.2,58.13,41.95,92706.77,196.83,144,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,18,AR  210736,FT MEADE,8151.167,-192.47,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,68.28,68,30000,3.59,37.2,58.13,41.95,92706.77,196.85,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,19,AR  170769,FT MEADE,8180.4,-200.27,V,0,0,0,IRF MASK,0,15,1000,0,0,57,141.44,67,30000,3.59,37.2,58.13,41.95,92706.77,196.92,144,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,1,N   153584,ST INIGOES,7900,-197.83,V,0,0,0,IRF MASK,0,53.38,6880,0,0,40,140.56,50,30000,3.59,37.3,130.78,62,178762.03,212.92,144.3,39,14,0.1,-999,324.8,-0.4
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,2,AR  120812,FT MEADE,7901.167,-211.21,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,51,68,30000,3.59,37.3,103.56,60.63,83758.52,197.01,249,16,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,3,AR  130712,FT DETRICK,7901.167,-203.93,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,121.01,68,30000,3.59,37.3,79.14,41.65,18460.54,210.72,142,40,14,0.1,-999,273.2,1.3
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,4,AR  130728,FT DETRICK,7901.167,-205.36,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,28.66,67.43,30000,3.59,37.3,79.14,41.65,18460.54,210.72,249,17,14,0.1,-999,273.2,1.3
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,5,AR  130756,FT DETRICK,7901.167,-203.36,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,28.66,67.43,30000,3.59,37.3,79.14,41.65,18460.54,210.72,249,17,14,0.1,-999,273.2,1.3
