Type;Wanted station;#;CS;Info1;cx;Rx frequency MHz;KTBF dBm;Polar;Interferer;#;CS;Info1;Tx frequency MHz;Unwanted Pr dBm;Polar;TD dB;Cumulated TD dB;IRF dB;IRF from;XPD dB;Tx pow dBm;Tx BW kHz;Tx addloss dB;Tx losses dB;Tx antgain dB;Tx main OAA;Tx ant att dB;Rx BW kHz;Rx losses dB;Rx ant gain dB;Rx main OAA;Rx ant att dB;Distance m;Prop loss dB;Tx az;Tx tilt;Rx az;Rx tilt;Wind turbine unwanted power (dBm);Tx->Rx az;Tx->Rx tilt
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;760;AF 187612;;8092.500000;-207.72;H;0.00;0.00;0.0;IRF MASK;0.0;27.50;1790.00;0.00;0.00;58.00;130.28;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;116.0;21.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;761;AF 187638;;8092.500000;-215.72;H;0.00;0.00;0.0;IRF MASK;0.0;19.50;1410.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;762;AF 187642;;8092.500000;-208.92;H;0.00;0.00;0.0;IRF MASK;0.0;26.30;2700.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;763;AF 187643;;8092.500000;-208.92;H;0.00;0.00;0.0;IRF MASK;0.0;26.30;2700.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Peterson;764;AF 196761;;8092.500000;-207.83;H;0.00;0.00;5.5;IRF MASK;0.0;36.50;35800.00;0.00;0.00;44.00;126.81;52.15;10000.00;4.10;40.50;5.98;24.31;159153.98;242.73;116.2;20.6;171.9;0.1;-999.0;166.2;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;765;AF 199188;;8086.200000;-211.30;H;0.00;0.00;-0.0;IRF MASK;0.0;23.90;968.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.34;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;765;AF 199188;;8092.500000;-211.32;H;0.00;0.00;0.0;IRF MASK;0.0;23.90;968.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;766;AF 210309;;8087.811000;-210.30;H;0.00;0.00;-0.0;IRF MASK;0.0;24.90;968.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.35;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;766;AF 210309;;8092.500000;-210.32;H;0.00;0.00;0.0;IRF MASK;0.0;24.90;968.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;767;AF 210312;;8092.500000;-208.32;H;0.00;0.00;0.0;IRF MASK;0.0;26.90;4940.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
